company_code,file_count
PVD,3841
HHV,3449
MSB,3091
NVL,3054
VPB,2984
CTS,2971
GMD,2835
NLG,2721
SAB,2698
TCB,2627
SBT,2622
BSI,2570
GVR,2556
BVH,2526
EVF,2523
VIB,2518
VCI,2406
VCG,2400
DXG,2395
HCM,2365
KBC,2360
OCB,2340
MBB,2335
PAN,2307
VPI,2294
TLG,2291
CII,2262
PHR,2242
NAB,2226
HAG,2223
VIC,2209
VHM,2185
BCM,2183
EIB,2180
KDC,2173
VHC,2171
SSI,2159
KDH,2151
BCG,2147
PTB,2127
GEX,2114
IMP,2108
MSN,2068
TCH,2062
PC1,2056
SSB,2048
ANV,2041
PDR,2025
PVT,2020
LPB,2015
SIP,2011
HDB,1991
DPM,1986
VIX,1951
VGC,1930
FTS,1908
SJS,1907
TPB,1905
VNM,1904
BWE,1899
ACB,1896
VCB,1892
STB,1888
PPC,1854
ASM,1781
VRE,1772
NKG,1771
SZC,1764
HDG,1751
DXS,1720
DIG,1710
KOS,1709
VTP,1700
CTD,1698
REE,1695
DGC,1678
CTG,1653
VJC,1623
GAS,1610
SHB,1564
PNJ,1545
BMP,1536
SCS,1515
AAA,1514
CRE,1507
CMG,1495
HDC,1486
DCM,1470
FPT,1456
BID,1456
VSH,1438
CTR,1391
HSG,1371
MWG,1281
FRT,1279
HPG,1261
NT2,1253
POW,1245
PLX,1166
DBC,997
HT1,303
DGW,66
HVA,44
